pais,lectura_6,matematicas_6,ciencias_6,lectura_3,matematicas_3,idh
ar,697.64,689.74,681.81,688.51,689.73,0.845
bo,,,,,,0.718
br,734.44,732.98,718.46,747.75,743.78,0.765
cl,,,,,,0.851
co,719.31,706.80,710.66,715.57,704.84,0.767
cr,757.26,725.99,757.65,747.56,725.16,0.810
cu,737.93,689.01,779.13,730.49,750.55,0.783
ec,643.95,635.88,649.21,623.93,623.90,0.759
sv,684.25,719.80,720.12,699.02,709.22,0.673
gt,698.77,675.89,705.13,696.76,690.57,0.663
hn,645.27,657.28,660.77,655.56,661.87,0.634
mx,661.25,682.35,674.01,674.54,701.94,0.779
ni,725.56,757.94,726.06,713.14,722.27,0.660
pa,654.14,663.22,669.35,645.89,662.50,0.815
py,651.62,644.61,672.03,659.12,654.03,0.728
pe,657.16,647.36,657.48,675.25,665.75,0.777
do,741.22,759.30,723.00,753.08,740.29,0.742
uy,734.05,759.47,731.44,722.73,721.87,0.817